ISO3,NAPYear,Yearperiod
AFG,2017,2017-18
AGO,NoNAP,NoNAP
ALB,2017,2017-18
AND,2025,After 2022
ARE,2019,2019-20
ARG,2015,2015-16
ARM,2015,2015-16
ATG,NoNAP,NoNAP
AUS,2015,2015-16
AUT,2014,Before 2015
AZE,NoNAP,NoNAP
BDI,2020,2019-20
BEL,2014,Before 2015
BEN,2019,2019-20
BFA,2017,2017-18
BGD,2017,2017-18
BGR,2017,2017-18
BHR,2019,2019-20
BHS,NoNAP,NoNAP
BLR,NoNAP,NoNAP
BLZ,NoNAP,NoNAP
BMU,NoNAP,NoNAP
BOL,2023,After 2022
BRA,2018,2017-18
BRB,2017,2017-18
BRN,2019,2019-20
BTN,2018,2017-18
BWA,NoNAP,NoNAP
CAF,NoNAP,NoNAP
CAN,2014,Before 2015
CHE,2015,2015-16
CHL,2017,2017-18
CHN,2016,2015-16
CIV,2021,2021-22
CMR,2018,2017-18
COD,2018,2017-18
COG,NoNAP,NoNAP
COK,2017,2017-18
COL,2018,2017-18
COM,2022,2021-22
CPV,2018,2017-18
CRI,2018,2017-18
CUB,NoNAP,NoNAP
CYP,2012,Before 2015
CZE,2009,Before 2015
DEU,2015,2015-16
DJI,NoNAP,NoNAP
DMA,NoNAP,NoNAP
DNK,2010,Before 2015
DOM,NoNAP,NoNAP
DZA,2024,After 2022
ECU,2019,2019-20
EGY,2018,2017-18
ERI,2021,2021-22
ESP,2014,Before 2015
EST,2017,2017-18
ETH,2012,Before 2015
FIN,2017,2017-18
FJI,2015,2015-16
FRA,2011,Before 2015
FSM,2019,2019-20
GAB,2018,2017-18
GBR,2013,Before 2015
GEO,2017,2017-18
GHA,2017,2017-18
GIN,2020,2019-20
GMB,NoNAP,NoNAP
GNB,2023,After 2022
GNQ,NoNAP,NoNAP
GRC,2008,Before 2015
GRD,NoNAP,NoNAP
GTM,NoNAP,NoNAP
GUY,NoNAP,NoNAP
HND,NoNAP,NoNAP
HRV,2017,2017-18
HTI,NoNAP,NoNAP
HUN,NoNAP,NoNAP
IDN,2017,2017-18
IND,2011,Before 2015
IRL,2017,2017-18
IRN,2016,2015-16
IRQ,2018,2017-18
ISL,2017,2017-18
ISR,NoNAP,NoNAP
ITA,2017,2017-18
JAM,NoNAP,NoNAP
JOR,2018,2017-18
JPN,2016,2015-16
KAZ,NoNAP,NoNAP
KEN,2017,2017-18
KGZ,2022,2021-22
KHM,2015,2015-16
KNA,NoNAP,NoNAP
KOR,2016,2015-16
KWT,2022,2021-22
LAO,2019,2019-20
LBN,2020,2019-20
LBR,2018,2017-18
LBY,2019,2019-20
LCA,NoNAP,NoNAP
LKA,2017,2017-18
LSO,NoNAP,NoNAP
LTU,2017,2017-18
LUX,2018,2017-18
LVA,2019,2019-20
MAR,2019,2019-20
MCO,NoNAP,NoNAP
MDA,2019,2019-20
MDG,2019,2019-20
MDV,2017,2017-18
MEX,2018,2017-18
MHL,2019,2019-20
MKD,2012,Before 2015
MLI,2019,2019-20
MLT,2018,2017-18
MMR,2017,2017-18
MNE,2017,2017-18
MNG,2017,2017-18
MOZ,2019,2019-20
MRT,NoNAP,NoNAP
MUS,2017,2017-18
MWI,2017,2017-18
MYS,2017,2017-18
NAM,2017,2017-18
NER,2025,After 2022
NGA,2017,2017-18
NIC,2020,2019-20
NLD,2015,2015-16
NOR,2015,2015-16
NPL,2016,2015-16
NRU,2021,2021-22
NZL,2017,2017-18
OMN,2017,2017-18
PAK,2017,2017-18
PAN,NoNAP,NoNAP
PER,2017,2017-18
PHL,2014,Before 2015
PLW,NoNAP,NoNAP
PNG,2019,2019-20
POL,2016,2015-16
PRK,2018,2017-18
PRT,2013,Before 2015
PRY,2019,2019-20
PSE,2020,2019-20
QAT,2024,After 2022
ROU,2023,After 2022
RUS,2019,2019-20
RWA,2020,2019-20
SAU,2017,2017-18
SDN,2018,2017-18
SEN,2017,2017-18
SGP,2017,2017-18
SLB,2023,After 2022
SLE,2018,2017-18
SLV,2022,2021-22
SMR,NoNAP,NoNAP
SOM,2020,2019-20
SRB,2019,2019-20
SSD,NoNAP,NoNAP
STP,NoNAP,NoNAP
SUR,NoNAP,NoNAP
SVK,2019,2019-20
SVN,2019,2019-20
SWE,2016,2015-16
SWZ,2018,2017-18
SYC,NoNAP,NoNAP
SYR,2019,2019-20
TCD,2018,2017-18
TGO,2019,2019-20
THA,2017,2017-18
TJK,2018,2017-18
TKM,2017,2017-18
TLS,2017,2017-18
TON,2017,2017-18
TTO,NoNAP,NoNAP
TUN,2019,2019-20
TUR,2018,2017-18
TUV,2021,2021-22
TZA,2017,2017-18
UGA,2018,2017-18
UKR,2019,2019-20
URY,2018,2017-18
USA,2015,2015-16
UZB,NoNAP,NoNAP
VCT,NoNAP,NoNAP
VEN,NoNAP,NoNAP
VNM,2013,Before 2015
VUT,NoNAP,NoNAP
WSM,2023,After 2022
YEM,2022,2021-22
ZAF,2014,Before 2015
ZMB,2017,2017-18
ZWE,2017,2017-18
